"cycle_id","pond_id","total_seed","started_at","finished_at","area","deep","total_feed","total_weight","harvested_at","status","sampled_at","average_weight","days_difference","adg","fcr","stocking_density","pond_type"
"9105","19152","865150","2022-07-01 00:00:00+07","2022-10-10 00:00:00+07","5744.1564","1.5","20159.0","17457.44","2022-10-10","Partial","2022-10-06","14.8357142857142857","4.0000000000000000","4360.6510714285714286","1.1547512120906616","150.6139352333790911","intensif"
"22184","34715","300000","2022-10-24 00:00:00+07","2023-01-22 00:00:00+07","4999.9041","1.5","6638.0","5306.0","2023-01-22","Full","2023-01-18","9.5980000000000000","4.0000000000000000","1324.1005000000000000","1.2510365623822088","60.0011508220727674","intensif"
"17717","19194","66000","2021-09-12 00:00:00+07","2021-12-20 00:00:00+07","300.00","1.3","1722.76","379.58","2021-12-20","Partial","2021-11-15","5.4716666666666667","35.0000000000000000","10.6888095238095238","4.5385952895305337","220.0000000000000000","Undefined"
"16159","33516","170000","2022-06-16 00:00:00+07","2022-09-06 00:00:00+07","1050.00","1.3","3899.100","2000.0","2022-09-06","Partial","2022-08-09","4.5000000000000000","28.0000000000000000","71.2678571428571429","1.9495500000000000","161.9047619047619048","supra intensif"
"18395","35546","250000","2022-09-09 00:00:00+07","2022-11-28 00:00:00+07","2040.00","1.2","3364.0","600.0","2022-11-28","Full","2022-11-18","3.5133333333333333","10.0000000000000000","59.6486666666666667","5.6066666666666667","122.5490196078431373","intensif"
"22273","36656","35000","2022-10-21 00:00:00+07","2022-12-23 00:00:00+07","1809.05","1.1","308.2","205.0","2022-12-23","Full","2022-12-23","6.3833333333333333","0.000000000000000000000000",NULL,"1.5034146341463415","19.3471711671871977","supra intensif"
"18056","36526","335200","2022-09-10 00:00:00+07","2023-01-08 00:00:00+07","2809.00","1.25","7262.0","4426.8","2023-01-08","Partial","2022-12-19","6.5263636363636364","20.0000000000000000","221.0136818181818182","1.6404626366675703","119.3307226771092916","intensif"
"18190","36823","326192","2022-11-16 00:00:00+07","2023-02-09 00:00:00+07","1024.00","1.3","4203.570","2870.18","2023-02-09","Partial","2023-02-02","6.7400000000000000","7.0000000000000000","409.0628571428571429","1.4645666822289891","318.5468750000000000","supra intensif"
"9094","32273","40000","2022-05-04 00:00:00+07","2022-06-21 00:00:00+07","400.00","1.8","136.9","115.0","2022-06-21","Full","2022-06-21","4.1000000000000000","0.000000000000000000000000",NULL,"1.1904347826086957","100.0000000000000000","Undefined"
"19671","32250","135000","2022-09-19 00:00:00+07","2022-11-22 00:00:00+07","1500.00","1.0","1203.0","400.0","2022-11-22","Full","2022-11-22","10.5000000000000000","0.000000000000000000000000",NULL,"3.0075000000000000","90.0000000000000000","supra intensif"
